area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
super built-up  area,19-dec,electronic city phase ii,2 bhk,coomee,1056.0,2.0,1.0,39.07,2.0,3699.810606060606
plot  area,ready to move,chikka tirupathi,4 bedroom,theanmp,2600.0,5.0,3.0,120.0,4.0,4615.384615384615
built-up  area,ready to move,uttarahalli,3 bhk,no society,1440.0,2.0,3.0,62.0,3.0,4305.555555555556
super built-up  area,ready to move,lingadheeranahalli,3 bhk,soiewre,1521.0,3.0,1.0,95.0,3.0,6245.890861275477
super built-up  area,ready to move,kothanur,2 bhk,no society,1200.0,2.0,1.0,51.0,2.0,4250.0
super built-up  area,ready to move,whitefield,2 bhk,duenata,1170.0,2.0,1.0,38.0,2.0,3247.863247863248
super built-up  area,18-may,old airport road,4 bhk,jaades,2732.0,4.0,2.0,204.0,4.0,7467.0571010248905
super built-up  area,ready to move,rajaji nagar,4 bhk,brway g,3300.0,4.0,2.0,600.0,4.0,18181.81818181818
super built-up  area,ready to move,marathahalli,3 bhk,no society,1310.0,3.0,1.0,63.25,3.0,4828.244274809161
super built-up  area,18-feb,whitefield,3 bhk,no society,1800.0,2.0,2.0,70.0,3.0,3888.8888888888887
plot  area,ready to move,whitefield,4 bedroom,prrry m,2785.0,5.0,3.0,295.0,4.0,10592.45960502693
super built-up  area,ready to move,7th phase jp nagar,2 bhk,shncyes,1000.0,2.0,1.0,38.0,2.0,3800.0
built-up  area,ready to move,gottigere,2 bhk,no society,1100.0,2.0,2.0,40.0,2.0,3636.3636363636365
plot  area,ready to move,sarjapur,3 bedroom,skityer,2250.0,3.0,2.0,148.0,3.0,6577.777777777777
super built-up  area,ready to move,mysore road,2 bhk,prntaen,1175.0,2.0,2.0,73.5,2.0,6255.31914893617
super built-up  area,ready to move,bisuvanahalli,3 bhk,prityel,1180.0,3.0,2.0,48.0,3.0,4067.7966101694915
super built-up  area,ready to move,raja rajeshwari nagar,3 bhk,grrvagr,1540.0,3.0,3.0,60.0,3.0,3896.103896103896
super built-up  area,ready to move,ramakrishnappa layout,3 bhk,pebayle,2770.0,4.0,2.0,290.0,3.0,10469.314079422382
super built-up  area,ready to move,manayata tech park,2 bhk,no society,1100.0,2.0,2.0,48.0,2.0,4363.636363636364
built-up  area,ready to move,kengeri,1 bhk,no society,600.0,1.0,1.0,15.0,1.0,2500.0
super built-up  area,19-dec,binny pete,3 bhk,she 2rk,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515
plot  area,ready to move,thanisandra,4 bedroom,soitya,2800.0,5.0,2.0,380.0,4.0,13571.42857142857
super built-up  area,ready to move,bellandur,3 bhk,no society,1767.0,3.0,1.0,103.0,3.0,5829.088851160159
super built-up  area,18-nov,thanisandra,1 rk,bhe 2ko,510.0,1.0,0.0,25.25,1.0,4950.980392156863
super built-up  area,18-may,mangammanapalya,3 bhk,no society,1250.0,3.0,2.0,56.0,3.0,4480.0
super built-up  area,ready to move,electronic city,2 bhk,itelaa,660.0,1.0,1.0,23.1,2.0,3500.0
built-up  area,20-dec,whitefield,3 bhk,no society,1610.0,3.0,2.0,81.0,3.0,5031.055900621118
