price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_sqft,bed_bath_ratio
13300000,7420,4,2,3,1,0,0,0,1,2,1,2,1792.4528301886792,2.0
12250000,8960,4,4,4,1,0,0,0,1,3,0,2,1367.1875,1.0
12250000,9960,3,2,2,1,0,1,0,0,2,1,1,1229.9196787148594,1.5
12215000,7500,4,2,2,1,0,1,0,1,3,1,2,1628.6666666666667,2.0
11410000,7420,4,1,2,1,1,1,0,1,2,0,2,1537.7358490566037,4.0
10850000,7500,3,3,1,1,0,1,0,1,2,1,1,1446.6666666666667,1.0
10150000,8580,4,3,4,1,0,0,0,1,2,1,1,1182.983682983683,1.3333333333333333
9870000,8100,4,1,2,1,1,1,0,1,2,1,2,1218.5185185185185,4.0
9800000,5750,3,2,4,1,1,0,0,1,1,1,0,1704.3478260869565,1.5
9800000,13200,3,1,2,1,0,1,0,1,2,1,2,742.4242424242424,3.0
9681000,6000,4,3,2,1,1,1,1,0,2,0,1,1613.5,1.3333333333333333
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,1421.3740458015268,2.0
9240000,3500,4,2,2,1,0,0,1,0,2,0,2,2640.0,2.0
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,1184.6153846153845,1.5
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,1516.6666666666667,4.0
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,1378.7878787878788,2.0
8960000,8500,3,2,4,1,0,0,0,1,2,0,2,1054.1176470588234,1.5
8890000,4600,3,2,2,1,1,0,0,1,2,0,2,1932.608695652174,1.5
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,1379.2834890965732,1.5
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,2025.462962962963,3.0
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1213.1376659678547,1.5
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,1073.9130434782608,3.0
