Body_Temperature,Heart_Rate,SPO2,Driver_State
95.5,54,85,5
95.9,54,85,5
96.1,54,85,5
100.22,54,99,5
100.1,54,79,7
100.5,54,79,7
101.4,54,79,7
100.33,55,99,5
95.18,55,80,7
95.78,55,80,7
96.18,55,80,7
103.5,56,94,5
101.3,56,95,6
96.1,56,85,7
102.99,56,83,7
102.2,56,79,8
103.9,57,94,5
100.22,57,99,5
101.3,57,95,6
96.08000000000001,57,85,7
102.91999999999999,57,83,7
103.2,57,79,8
104.0,57,89,8
103.1,58,94,5
103.82,58,88,6
103.9,58,88,6
101.5,58,95,6
96.9,58,85,7
102.89,58,83,7
100.04,58,87,7
100.24,58,88,7
100.33,58,89,7
102.6,58,79,8
104.0,58,88,8
104.0,58,89,8
96.61999999999999,58,68,9
96.66,58,68,9
96.69,58,68,9
98.32,58,68,9
98.62,58,68,9
98.72,58,68,9
103.82,59,88,6
101.11999999999999,59,94,6
101.32,59,94,6
95.19,59,81,7
95.2,59,81,7
95.35,59,81,7
96.44,59,87,8
96.54,59,87,8
104.0,59,88,8
96.26,59,67,9
96.3,59,67,9
101.11999999999999,60,94,6
97.16,60,72,7
97.26,60,72,7
100.0,60,88,7
100.03999999999999,60,88,7
103.46000000000001,60,85,7
103.66,60,85,7
101.84,60,87,7
101.89,60,87,7
103.46000000000001,60,76,8
103.6,60,76,8
103.7,60,76,8
96.44,60,87,8
104.0,60,88,8
104.0,60,89,8
98.8,60,60,9
98.9,60,60,9
99.0,60,60,9
96.26,60,67,9
102.6,60,62,9
102.74,60,62,9
102.79,60,62,9
102.9,60,73,9
102.91999999999999,60,73,9
97.32,61,84,6
97.52,61,84,6
97.7,61,85,6
97.8,61,85,6
97.52,61,94,6
97.59,61,94,6
99.32,61,93,6
99.55,61,93,6
97.16,61,72,7
97.7,61,74,7
98.0,61,74,7
100.03999999999999,61,88,7
100.22,61,88,7
100.3,61,88,7
103.46000000000001,61,85,7
101.84,61,87,7
96.87,61,70,8
96.98,61,70,8
97.22,61,70,8
95.9,61,75,8
96.2,61,77,8
96.26,61,77,8
102.91999999999999,61,73,9
101.8,61,76,9
101.84,61,76,9
98.9,62,91,2
98.96000000000001,62,91,2
99.0,62,91,2
95.0,62,90,5
95.1,62,90,5
95.5,62,90,5
102.02,62,88,5
102.05,62,88,5
102.73,62,92,5
102.74,62,92,5
102.99,62,92,5
97.52,62,84,6
97.7,62,85,6
96.88,62,90,6
96.98,62,90,6
97.0,62,90,6
97.52,62,94,6
99.32,62,93,6
97.7,62,74,7
96.61999999999999,62,78,7
96.76,62,78,7
96.88,62,78,7
96.66,62,79,7
96.72,62,79,7
96.9,62,79,7
100.2,62,78,7
100.3,62,78,7
100.4,62,78,7
100.22,62,88,7
96.0,62,75,8
96.26,62,77,8
102.65,62,81,8
102.74,62,81,8
102.88,62,81,8
99.32,62,63,9
99.4,62,63,9
95.45,62,73,9
95.53999999999999,62,73,9
95.77,62,73,9
95.8,62,73,9
103.28,62,74,9
101.84,62,76,9
102.0,63,88,5
102.56,63,91,5
102.66,63,91,5
99.14,63,83,6
99.2,63,83,6
97.0,63,92,6
97.34,63,92,6
103.6,63,97,6
103.64,63,97,6
103.64,63,76,8
103.8,63,76,8
103.9,63,76,8
103.79,63,78,8
103.82,63,78,8
96.61999999999999,63,88,8
96.72,63,88,8
102.9,63,82,8
102.91999999999999,63,82,8
103.0,63,82,8
98.78,63,60,9
98.8,63,60,9
100.9,63,61,9
100.94,63,61,9
99.32,63,63,9
95.53999999999999,63,73,9
95.72,63,73,9
103.64,63,66,9
103.69,63,66,9
95.9,63,74,9
96.0,63,74,9
102.72,63,68,9
103.02,63,68,9
103.66,63,68,9
102.56,63,70,9
102.6,63,70,9
103.28,63,74,9
103.33,63,74,9
104.0,63,79,9
102.56,64,91,5
99.14,64,83,6
99.3,64,85,6
99.5,64,85,6
99.0,64,86,6
99.68,64,86,6
97.34,64,92,6
99.5,64,94,6
99.7,64,94,6
103.64,64,97,6
99.32,64,72,7
99.42,64,72,7
99.44,64,72,7
95.5,64,83,7
95.53999999999999,64,83,7
98.9,64,81,7
98.96000000000001,64,81,7
103.28,64,84,7
103.3,64,84,7
95.7,64,75,8
103.8,64,78,8
96.61999999999999,64,88,8
98.78,64,60,9
100.94,64,61,9
99.68,64,64,9
99.7,64,64,9
102.74,64,61,9
102.79,64,61,9
100.0,64,67,9
100.22,64,67,9
100.0,64,69,9
100.58000000000001,64,69,9
103.64,64,66,9
